maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note,Total_CPU,,isMin
1,2,0.102181,00:00:00,3456.664022,00:57:36,3562.879056,00:59:22,,7019.645259,,0
1,4,0.174696,00:00:00,641.614002,00:10:41,673.006074,00:11:13,,1314.794772,,0
1,6,0.824913,00:00:00,538.855051,00:08:58,568.903593,00:09:28,,1108.583557,,0
1,8,1.828635,00:00:01,562.745429,00:09:22,584.091247,00:09:44,,1148.665311,,0
1,10,2.772498,00:00:02,582.250765,00:09:42,602.595923,00:10:02,,1187.619186,,0
1,12,3.717644,00:00:03,562.995381,00:09:22,592.706224,00:09:52,,1159.419249,,0
1,14,4.645848,00:00:04,553.209839,00:09:13,574.971764,00:09:34,,1132.827451,,0
1,16,5.510013,00:00:05,546.582697,00:09:06,599.816508,00:09:59,,1151.909218,,0
1,18,6.423442,00:00:06,543.16315,00:09:03,576.23761,00:09:36,,1125.824202,,0
1,20,7.366411,00:00:07,549.376292,00:09:09,579.487403,00:09:39,,1136.230106,,0
1,22,8.166107,00:00:08,534.732162,00:08:54,570.151445,00:09:30,,1113.049714,,0
1,24,9.151552,00:00:09,544.845857,00:09:04,590.619921,00:09:50,,1144.61733,,0
4,2,0.103363,00:00:00,3442.757169,00:57:22,3501.517536,00:58:21,,6944.378068,,0
4,4,0.166827,00:00:00,641.945787,00:10:41,669.560807,00:11:09,,1311.673421,,0
4,6,0.817703,00:00:00,546.131753,00:09:06,568.491173,00:09:28,,1115.440629,,0
4,8,1.79515,00:00:01,552.45014,00:09:12,588.97892,00:09:49,,1143.22421,,0
4,10,2.796248,00:00:02,540.561956,00:09:00,564.827632,00:09:24,,1108.185836,,0
4,12,3.699045,00:00:03,541.18415,00:09:01,565.701571,00:09:25,,1110.584766,,0
4,14,4.616959,00:00:04,554.436136,00:09:14,579.39567,00:09:39,,1138.448765,,0
4,16,5.558203,00:00:05,542.314207,00:09:02,575.932622,00:09:35,,1123.805032,,0
4,18,6.42769,00:00:06,560.921097,00:09:20,582.8501,00:09:42,,1150.198887,,0
4,20,7.310874,00:00:07,546.182509,00:09:06,587.356849,00:09:47,,1140.850232,,0
4,22,8.286253,00:00:08,548.569665,00:09:08,601.32555,00:10:01,,1158.181468,,0
4,24,9.183315,00:00:09,541.986194,00:09:01,566.231201,00:09:26,,1117.40071,,0
7,2,0.100964,00:00:00,3419.722426,00:56:59,3495.186962,00:58:15,,6915.010352,,0
7,4,0.173115,00:00:00,628.388779,00:10:28,649.791256,00:10:49,,1278.35315,,0
7,6,0.818631,00:00:00,544.598747,00:09:04,567.404462,00:09:27,,1112.82184,,0
7,8,1.812616,00:00:01,544.756559,00:09:04,570.204895,00:09:30,,1116.77407,,0
7,10,2.737274,00:00:02,531.237865,00:08:51,580.237202,00:09:40,,1114.212341,,0
7,12,3.702907,00:00:03,549.433593,00:09:09,570.850219,00:09:30,,1123.986719,,0
7,14,4.631917,00:00:04,535.390317,00:08:55,563.288361,00:09:23,,1103.310595,,0
7,16,5.557457,00:00:05,532.750083,00:08:52,571.141497,00:09:31,,1109.449037,,0
7,18,6.460053,00:00:06,549.723303,00:09:09,578.135267,00:09:38,,1134.318623,,0
7,20,7.262465,00:00:07,534.181053,00:08:54,580.71741,00:09:40,,1122.160928,,0
7,22,8.251548,00:00:08,544.61019,00:09:04,579.219831,00:09:39,,1132.081569,,0
7,24,9.14076,00:00:09,546.668584,00:09:06,581.917938,00:09:41,,1137.727282,,0
9,2,0.103479,00:00:00,3440.635512,00:57:20,3509.056258,00:58:29,,6949.795249,,0
9,4,0.167596,00:00:00,637.755394,00:10:37,673.337406,00:11:13,,1311.260396,,0
9,6,0.812139,00:00:00,545.513429,00:09:05,576.074715,00:09:36,,1122.400283,,0
9,8,1.809896,00:00:01,552.074861,00:09:12,590.079442,00:09:50,,1143.964199,,0
9,10,2.746383,00:00:02,543.905937,00:09:03,580.528962,00:09:40,,1127.181282,,0
9,12,3.683307,00:00:03,552.699067,00:09:12,583.383234,00:09:43,,1139.765608,,0
9,14,4.623912,00:00:04,536.35215,00:08:56,564.337745,00:09:24,,1105.313807,,0
