maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note,Total_CPU,,isMin
1,2,0.074497,00:00:00,3804.635434,01:03:24,3853.847669,01:04:13,,7658.5576,,0
1,4,0.153664,00:00:00,622.708097,00:10:22,661.999507,00:11:02,,1284.861268,,0
1,6,1.51559,00:00:01,492.748169,00:08:12,521.058612,00:08:41,,1015.322371,,0
1,8,3.101726,00:00:03,478.267867,00:07:58,510.684546,00:08:30,,992.054139,,0
1,10,4.563889,00:00:04,473.58501,00:07:53,530.741229,00:08:50,,1008.890128,,0
1,12,6.133691,00:00:06,510.354284,00:08:30,539.606634,00:08:59,,1056.094609,,0
1,14,7.526032,00:00:07,518.522814,00:08:38,549.718628,00:09:09,,1075.767474,,0
1,16,9.027036,00:00:09,521.255724,00:08:41,549.448788,00:09:09,,1079.731548,,0
1,18,10.440655,00:00:10,517.195923,00:08:37,546.675747,00:09:06,,1074.312325,,0
1,20,12.030804,00:00:12,493.153373,00:08:13,519.15166,00:08:39,,1024.335837,,0
1,22,13.490098,00:00:13,480.893899,00:08:00,517.225172,00:08:37,,1011.609169,,0
1,24,14.954138,00:00:14,485.508238,00:08:05,520.442562,00:08:40,,1020.904938,,0
4,2,0.070396,00:00:00,3963.906378,01:06:04,4044.663101,01:07:24,,8008.639875,,0
4,4,0.155811,00:00:00,632.957995,00:10:32,664.543861,00:11:04,,1297.657667,,0
4,6,1.500209,00:00:01,492.250107,00:08:12,528.815292,00:08:48,,1022.565608,,0
4,8,3.106755,00:00:03,492.032706,00:08:12,528.799604,00:08:48,,1023.939065,,0
4,10,4.53157,00:00:04,482.639493,00:08:02,516.18465,00:08:36,,1003.355713,,0
4,12,6.042919,00:00:06,484.514567,00:08:04,511.0946,00:08:31,,1001.652086,,0
4,14,7.575347,00:00:07,492.292303,00:08:12,522.851334,00:08:42,,1022.718984,,0
4,16,9.086162,00:00:09,481.083867,00:08:01,509.135853,00:08:29,,999.305882,,0
4,18,10.631338,00:00:10,485.364134,00:08:05,527.007685,00:08:47,,1023.003157,,0
4,20,12.059937,00:00:12,482.880647,00:08:02,514.064521,00:08:34,,1009.005105,,0
