maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note,Total_CPU,,isMin
1,2,0.014353,00:00:00,807.532437,00:13:27,879.696155,00:14:39,,1687.242945,,0
1,4,0.02949,00:00:00,481.924257,00:08:01,519.938649,00:08:39,,1001.892396,,0
1,6,0.077296,00:00:00,476.256276,00:07:56,513.9176,00:08:33,,990.251172,,0
1,8,0.117016,00:00:00,467.916327,00:07:47,512.59971,00:08:32,,980.633053,,0
1,10,0.155287,00:00:00,487.089027,00:08:07,514.273515,00:08:34,,1001.517829,,0
1,12,0.193748,00:00:00,473.910682,00:07:53,500.791098,00:08:20,,974.895528,,0
1,14,0.23255,00:00:00,485.249357,00:08:05,517.641179,00:08:37,,1003.123086,,0
1,16,0.274759,00:00:00,483.922709,00:08:03,523.896068,00:08:43,,1008.093536,,0
1,18,0.30671,00:00:00,486.578961,00:08:06,517.679774,00:08:37,,1004.565445,,0
1,20,0.348204,00:00:00,477.61178,00:07:57,516.427101,00:08:36,,994.387085,,0
1,22,0.381903,00:00:00,479.5999,00:07:59,516.070458,00:08:36,,996.052261,,0
1,24,0.421598,00:00:00,471.567879,00:07:51,506.211537,00:08:26,,978.201014,,0
4,2,0.015073,00:00:00,852.321715,00:14:12,888.970759,00:14:48,,1741.307547,,0
4,4,0.029705,00:00:00,477.357728,00:07:57,512.275986,00:08:32,,989.663419,,0
4,6,0.076448,00:00:00,473.692136,00:07:53,511.065317,00:08:31,,984.833901,,0
4,8,0.116855,00:00:00,463.096849,00:07:43,491.827516,00:08:11,,955.04122,,0
4,10,0.154774,00:00:00,472.840709,00:07:52,503.788818,00:08:23,,976.784301,,0
4,12,0.193639,00:00:00,461.306012,00:07:41,489.574446,00:08:09,,951.074097,,1
4,14,0.244648,00:00:00,478.022543,00:07:58,511.781763,00:08:31,,990.048954,,0
4,16,0.268026,00:00:00,477.245802,00:07:57,517.426733,00:08:37,,994.940561,,0
4,18,0.305407,00:00:00,477.87891,00:07:57,510.737231,00:08:30,,988.921548,,0
4,20,0.346333,00:00:00,465.069823,00:07:45,498.67034,00:08:18,,964.086496,,0
4,22,0.383258,00:00:00,486.77463,00:08:06,518.648408,00:08:38,,1005.806296,,0
4,24,0.417456,00:00:00,475.080566,00:07:55,509.22604,00:08:29,,984.724062,,0
7,2,0.015199,00:00:00,860.837034,00:14:20,900.190755,00:15:00,,1761.042988,,0
7,4,0.029914,00:00:00,482.729446,00:08:02,518.520055,00:08:38,,1001.279415,,0
7,6,0.077191,00:00:00,477.585759,00:07:57,505.137834,00:08:25,,982.800784,,0
7,8,0.115871,00:00:00,466.905322,00:07:46,515.055484,00:08:35,,982.076677,,0
7,10,0.154743,00:00:00,486.535099,00:08:06,524.455828,00:08:44,,1011.14567,,0
7,12,0.194503,00:00:00,474.912955,00:07:54,508.622506,00:08:28,,983.729964,,0
7,14,0.231283,00:00:00,482.603503,00:08:02,515.111333,00:08:35,,997.946119,,0
7,16,0.267799,00:00:00,487.828729,00:08:07,520.198633,00:08:40,,1008.295161,,0
7,18,0.306665,00:00:00,476.515867,00:07:56,509.80461,00:08:29,,986.627142,,0
7,20,0.345044,00:00:00,477.203659,00:07:57,505.761933,00:08:25,,983.310636,,0
7,22,0.380316,00:00:00,467.697868,00:07:47,501.541422,00:08:21,,969.619606,,0
7,24,0.41722,00:00:00,475.809297,00:07:55,508.828566,00:08:28,,985.055083,,0
9,2,0.015082,00:00:00,857.52641,00:14:17,895.328211,00:14:55,,1752.869703,,0
9,4,0.03026,00:00:00,483.25988,00:08:03,515.732054,00:08:35,,999.022194,,0
9,6,0.077628,00:00:00,478.180744,00:07:58,513.246762,00:08:33,,991.505134,,0
9,8,0.115981,00:00:00,481.84822,00:08:01,513.770116,00:08:33,,995.734317,,0
9,10,0.156478,00:00:00,479.482636,00:07:59,507.583559,00:08:27,,987.222673,,0
9,12,0.192464,00:00:00,476.643823,00:07:56,506.319171,00:08:26,,983.155458,,0
9,14,0.234176,00:00:00,468.509122,00:07:48,499.303047,00:08:19,,968.046345,,0
