maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note,Total_CPU,,isMin
1,2,0.011934,00:00:00,955.328322,00:15:55,1002.059947,00:16:42,,1957.400203,,0
1,4,0.038884,00:00:00,487.856109,00:08:07,519.866513,00:08:39,,1007.761506,,0
1,6,0.150667,00:00:00,456.170538,00:07:36,485.656706,00:08:05,,941.977911,,1
1,8,0.248514,00:00:00,473.226831,00:07:53,504.143947,00:08:24,,977.619292,,0
1,10,0.342908,00:00:00,468.546827,00:07:48,500.082566,00:08:20,,968.972301,,0
1,12,0.435754,00:00:00,473.221676,00:07:53,509.319167,00:08:29,,982.976597,,0
1,14,0.527962,00:00:00,471.314237,00:07:51,507.091154,00:08:27,,978.933353,,0
1,16,0.622681,00:00:00,473.526169,00:07:53,508.609535,00:08:28,,982.758385,,0
1,18,0.710053,00:00:00,475.760743,00:07:55,512.218432,00:08:32,,988.689228,,0
1,20,0.806714,00:00:00,485.546687,00:08:05,520.383551,00:08:40,,1006.736952,,0
1,22,0.896537,00:00:00,476.740579,00:07:56,505.833259,00:08:25,,983.470375,,0
1,24,0.994032,00:00:00,459.374118,00:07:39,503.477559,00:08:23,,963.845709,,0
4,2,0.011728,00:00:00,956.578395,00:15:56,998.222072,00:16:38,,1954.812195,,0
4,4,0.038786,00:00:00,474.366489,00:07:54,505.854508,00:08:25,,980.259783,,0
4,6,0.14948,00:00:00,464.343762,00:07:44,496.454111,00:08:16,,960.947353,,0
4,8,0.247745,00:00:00,458.002766,00:07:38,488.95173,00:08:08,,947.202241,,0
4,10,0.344305,00:00:00,456.044102,00:07:36,486.349859,00:08:06,,942.738266,,0
4,12,0.441815,00:00:00,472.990165,00:07:53,505.918717,00:08:25,,979.350697,,0
4,14,0.525595,00:00:00,483.501182,00:08:03,524.122727,00:08:44,,1008.149504,,0
4,16,0.616591,00:00:00,471.407409,00:07:51,503.996874,00:08:24,,976.020874,,0
4,18,0.718655,00:00:00,472.693417,00:07:52,499.709199,00:08:19,,973.121271,,0
4,20,0.807575,00:00:00,457.311492,00:07:37,486.191203,00:08:06,,944.31027,,0
4,22,0.894515,00:00:00,460.227182,00:07:40,501.73771,00:08:21,,962.859407,,0
4,24,0.985165,00:00:00,471.501701,00:07:51,497.417694,00:08:17,,969.90456,,0
