maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note,Total_CPU,,isMin
1,2,0.028238,00:00:00,1344.62429,00:22:24,1379.515696,00:22:59,,2724.168224,,0
1,4,0.050673,00:00:00,502.688038,00:08:22,542.401301,00:09:02,,1045.140012,,0
1,6,0.181136,00:00:00,486.375841,00:08:06,529.49519,00:08:49,,1016.052167,,0
1,8,0.295586,00:00:00,507.893072,00:08:27,530.811417,00:08:50,,1039.000075,,0
1,10,0.406554,00:00:00,507.064784,00:08:27,534.361463,00:08:54,,1041.832801,,0
1,12,0.521716,00:00:00,500.748032,00:08:20,528.565661,00:08:48,,1029.835409,,0
1,14,0.625807,00:00:00,501.268339,00:08:21,532.69283,00:08:52,,1034.586976,,0
1,16,0.731991,00:00:00,505.268926,00:08:25,534.422012,00:08:54,,1040.422929,,0
1,18,0.859798,00:00:00,507.335111,00:08:27,540.272505,00:09:00,,1048.467414,,0
1,20,0.951241,00:00:00,499.768098,00:08:19,525.571213,00:08:45,,1026.290552,,0
1,22,1.058797,00:00:01,502.019933,00:08:22,531.924653,00:08:51,,1035.003383,,0
1,24,1.161142,00:00:01,496.027829,00:08:16,523.157959,00:08:43,,1020.34693,,0
4,2,0.028122,00:00:00,1365.187687,00:22:45,1405.287457,00:23:25,,2770.503266,,0
4,4,0.049896,00:00:00,506.664364,00:08:26,535.099381,00:08:55,,1041.813641,,0
4,6,0.181689,00:00:00,481.813838,00:08:01,514.395121,00:08:34,,996.390648,,0
4,8,0.296075,00:00:00,505.107739,00:08:25,538.867656,00:08:58,,1044.27147,,0
4,10,0.406808,00:00:00,494.765928,00:08:14,525.223498,00:08:45,,1020.396234,,0
4,12,0.522343,00:00:00,499.843175,00:08:19,524.337629,00:08:44,,1024.703147,,0
4,14,0.628527,00:00:00,510.990402,00:08:30,534.053836,00:08:54,,1045.672765,,0
4,16,0.734115,00:00:00,500.147796,00:08:20,537.171409,00:08:57,,1038.05332,,0
4,18,0.859267,00:00:00,505.283747,00:08:25,535.785079,00:08:55,,1041.928093,,0
4,20,0.948738,00:00:00,500.97785,00:08:20,522.182247,00:08:42,,1024.108835,,0
4,22,1.050547,00:00:01,499.020531,00:08:19,528.548124,00:08:48,,1028.619202,,0
4,24,1.161935,00:00:01,496.749629,00:08:16,527.165868,00:08:47,,1025.077432,,0
7,2,0.028876,00:00:00,1346.721717,00:22:26,1387.069974,00:23:07,,2733.820567,,0
7,4,0.049004,00:00:00,508.30125,00:08:28,548.924027,00:09:08,,1057.274281,,0
7,6,0.18118,00:00:00,497.899199,00:08:17,528.498218,00:08:48,,1026.578597,,0
7,8,0.294484,00:00:00,495.868853,00:08:15,519.949026,00:08:39,,1016.112363,,0
7,10,0.409133,00:00:00,501.785519,00:08:21,533.347042,00:08:53,,1035.541694,,0
7,12,0.516911,00:00:00,496.945289,00:08:16,530.948004,00:08:50,,1028.410204,,0
7,14,0.625722,00:00:00,505.576808,00:08:25,535.820393,00:08:55,,1042.022923,,0
7,16,0.731706,00:00:00,494.148011,00:08:14,522.370459,00:08:42,,1017.250176,,0
7,18,0.844514,00:00:00,492.879131,00:08:12,519.469154,00:08:39,,1013.192799,,0
7,20,0.946101,00:00:00,508.190884,00:08:28,538.435373,00:08:58,,1047.572358,,0
7,22,1.054561,00:00:01,501.5843,00:08:21,535.901227,00:08:55,,1038.540088,,0
7,24,1.182399,00:00:01,499.088885,00:08:19,533.661889,00:08:53,,1033.933173,,0
9,2,0.028939,00:00:00,1339.464974,00:22:19,1365.973557,00:22:45,,2705.46747,,0
9,4,0.049971,00:00:00,506.971056,00:08:26,554.825346,00:09:14,,1061.846373,,0
9,6,0.181222,00:00:00,491.271078,00:08:11,527.135816,00:08:47,,1018.588116,,0
9,8,0.298615,00:00:00,494.116487,00:08:14,527.147018,00:08:47,,1021.56212,,0
9,10,0.414774,00:00:00,492.139227,00:08:12,515.976413,00:08:35,,1008.530414,,0
9,12,0.520023,00:00:00,510.118803,00:08:30,540.549728,00:09:00,,1051.188554,,0
9,14,0.62355,00:00:00,489.284072,00:08:09,517.567925,00:08:37,,1007.475547,,0
9,16,0.732757,00:00:00,484.395752,00:08:04,515.788328,00:08:35,,1000.916837,,0
9,18,0.839069,00:00:00,510.034117,00:08:30,542.730087,00:09:02,,1053.603273,,0
9,20,0.94036,00:00:00,500.687361,00:08:20,531.710263,00:08:51,,1033.337984,,0
9,22,1.050508,00:00:01,490.473496,00:08:10,531.348747,00:08:51,,1022.872751,,0
9,24,1.166455,00:00:01,500.773145,00:08:20,531.83313,00:08:51,,1033.77273,,0
11,2,0.028531,00:00:00,1367.098272,00:22:47,1409.518931,00:23:29,,2776.645734,,0
11,4,0.049772,00:00:00,519.54887,00:08:39,556.274702,00:09:16,,1075.873344,,0
11,6,0.182533,00:00:00,498.467878,00:08:18,525.623927,00:08:45,,1024.274338,,0
11,8,0.294789,00:00:00,495.849102,00:08:15,527.253916,00:08:47,,1023.397807,,0
11,10,0.408472,00:00:00,513.523267,00:08:33,541.274889,00:09:01,,1055.206628,,0
11,12,0.519118,00:00:00,507.268703,00:08:27,535.230648,00:08:55,,1043.018469,,0
11,14,0.624611,00:00:00,495.082339,00:08:15,537.568481,00:08:57,,1033.275431,,0
11,16,0.844036,00:00:00,500.233654,00:08:20,526.28984,00:08:46,,1027.36753,,0
11,18,0.850951,00:00:00,484.535466,00:08:04,512.376037,00:08:32,,997.762454,,0
11,20,0.94859,00:00:00,511.441161,00:08:31,540.271818,00:09:00,,1052.661569,,0
11,22,1.051189,00:00:01,493.825918,00:08:13,524.641282,00:08:44,,1019.518389,,0
11,24,1.157587,00:00:01,500.979913,00:08:20,543.861599,00:09:03,,1045.999099,,0
13,2,0.028754,00:00:00,1376.872097,00:22:56,1422.526908,00:23:42,,2799.427759,,0
13,4,0.050176,00:00:00,517.287154,00:08:37,549.588384,00:09:09,,1066.925714,,0
13,6,0.182535,00:00:00,480.096246,00:08:00,510.150619,00:08:30,,990.4294,,1
13,8,0.296284,00:00:00,493.607024,00:08:13,527.059893,00:08:47,,1020.963201,,0
13,10,0.407796,00:00:00,493.213186,00:08:13,524.359603,00:08:44,,1017.980585,,0
13,12,0.520303,00:00:00,487.083044,00:08:07,516.97858,00:08:36,,1004.581927,,0
13,14,0.626397,00:00:00,496.012037,00:08:16,536.202682,00:08:56,,1032.841116,,0
13,16,0.731163,00:00:00,485.949291,00:08:05,524.794102,00:08:44,,1011.474556,,0
13,18,0.842052,00:00:00,502.821614,00:08:22,532.855363,00:08:52,,1036.519029,,0
13,20,1.061818,00:00:01,501.272855,00:08:21,529.262489,00:08:49,,1031.597162,,0
13,22,1.049592,00:00:01,492.694293,00:08:12,527.059508,00:08:47,,1020.803393,,0
13,24,1.169019,00:00:01,500.959255,00:08:20,533.106383,00:08:53,,1035.234657,,0
15,2,0.028624,00:00:00,1366.275096,00:22:46,1406.039465,00:23:26,,2772.343185,,0
15,4,0.04958,00:00:00,511.470656,00:08:31,541.017575,00:09:01,,1052.537811,,0
15,6,0.179805,00:00:00,487.685945,00:08:07,519.032445,00:08:39,,1006.898195,,0
15,8,0.294329,00:00:00,504.584322,00:08:24,535.951922,00:08:55,,1040.830573,,0
15,10,0.409532,00:00:00,491.219773,00:08:11,528.002105,00:08:48,,1019.63141,,0
15,12,0.518792,00:00:00,494.173474,00:08:14,528.356942,00:08:48,,1023.049208,,0
15,14,0.641701,00:00:00,511.506945,00:08:31,541.54156,00:09:01,,1053.690206,,0
15,16,0.738168,00:00:00,491.583009,00:08:11,533.740467,00:08:53,,1026.061644,,0
15,18,0.845557,00:00:00,502.733115,00:08:22,536.815767,00:08:56,,1040.394439,,0
15,20,0.945897,00:00:00,504.187505,00:08:24,526.029457,00:08:46,,1031.162859,,0
15,22,1.050489,00:00:01,493.932541,00:08:13,533.12602,00:08:53,,1028.10905,,0
15,24,1.165598,00:00:01,485.68556,00:08:05,520.912301,00:08:40,,1007.763459,,0
17,2,0.028523,00:00:00,1409.673971,00:23:29,1448.200511,00:24:08,,2857.903005,,0
17,4,0.049655,00:00:00,509.296667,00:08:29,548.671465,00:09:08,,1058.017787,,0
17,6,0.180356,00:00:00,492.970462,00:08:13,526.974761,00:08:46,,1020.125579,,0
17,8,0.293838,00:00:00,487.979116,00:08:08,522.681458,00:08:42,,1010.954412,,0
17,10,0.408235,00:00:00,487.793169,00:08:07,525.617719,00:08:45,,1013.819123,,0
17,12,0.518765,00:00:00,513.783166,00:08:33,549.124599,00:09:09,,1063.42653,,0
17,14,0.625793,00:00:00,494.739579,00:08:14,528.811368,00:08:48,,1024.17674,,0
17,16,0.734825,00:00:00,501.209151,00:08:21,532.09934,00:08:52,,1034.043316,,0
17,18,0.847228,00:00:00,500.093236,00:08:20,528.508951,00:08:48,,1029.449415,,0
17,20,0.958007,00:00:00,505.283245,00:08:25,539.037347,00:08:59,,1045.278599,,0
17,22,1.054199,00:00:01,489.526985,00:08:09,516.770019,00:08:36,,1007.351203,,0
17,24,1.164631,00:00:01,489.159079,00:08:09,521.152134,00:08:41,,1011.475844,,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,min,,
,,,,,,,,,990.4294,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
