maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note,Total_CPU,,isMin
1,2,0.016748,00:00:00,1100.888683,00:18:20,1143.821782,00:19:03,,2244.727213,,0
1,4,0.051847,00:00:00,479.029867,00:07:59,508.533076,00:08:28,,987.61479,,0
1,6,0.255261,00:00:00,443.505579,00:07:23,485.323203,00:08:05,,929.084043,,0
1,8,0.430009,00:00:00,462.73221,00:07:42,486.076325,00:08:06,,949.238544,,0
1,10,0.599269,00:00:00,461.369594,00:07:41,495.853993,00:08:15,,957.822856,,0
1,12,0.758961,00:00:00,479.008225,00:07:59,497.873557,00:08:17,,977.640743,,0
1,14,0.944532,00:00:00,457.159993,00:07:37,488.110827,00:08:08,,946.215352,,0
1,16,1.104055,00:00:01,476.362419,00:07:56,506.91539,00:08:26,,984.381864,,0
1,18,1.289895,00:00:01,465.046429,00:07:45,496.711999,00:08:16,,963.048323,,0
1,20,1.436658,00:00:01,467.38275,00:07:47,494.93901,00:08:14,,963.758418,,0
1,22,1.622483,00:00:01,466.75125,00:07:46,495.156609,00:08:15,,963.530342,,0
1,24,1.807479,00:00:01,467.792452,00:07:47,494.616127,00:08:14,,964.216058,,0
4,2,0.016575,00:00:00,1122.577432,00:18:42,1164.172139,00:19:24,,2286.766146,,0
4,4,0.051207,00:00:00,474.002202,00:07:54,506.766721,00:08:26,,980.82013,,0
4,6,0.251122,00:00:00,461.656023,00:07:41,491.671971,00:08:11,,953.579116,,0
4,8,0.432827,00:00:00,464.722394,00:07:44,497.279658,00:08:17,,962.434879,,0
4,10,0.599303,00:00:00,477.64242,00:07:57,506.672738,00:08:26,,984.914461,,0
4,12,0.766387,00:00:00,449.697771,00:07:29,476.816191,00:07:56,,927.280349,,0
4,14,0.939254,00:00:00,454.358547,00:07:34,482.108468,00:08:02,,937.406269,,0
4,16,1.099992,00:00:01,452.039464,00:07:32,487.427891,00:08:07,,940.567347,,0
4,18,1.283608,00:00:01,466.394316,00:07:46,492.677517,00:08:12,,960.355441,,0
4,20,1.436606,00:00:01,451.365654,00:07:31,478.702481,00:07:58,,931.504741,,0
4,22,1.618657,00:00:01,469.181457,00:07:49,502.861213,00:08:22,,973.661327,,0
4,24,1.785723,00:00:01,469.79112,00:07:49,500.73381,00:08:20,,972.310653,,0
7,2,0.01631,00:00:00,1119.600384,00:18:39,1166.251084,00:19:26,,2285.867778,,0
7,4,0.051748,00:00:00,478.549912,00:07:58,504.152185,00:08:24,,982.753845,,0
7,6,0.252867,00:00:00,454.664615,00:07:34,482.059265,00:08:02,,936.976747,,0
