maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note,Total_CPU,,isMin
1,2,0.057791,00:00:00,2016.90335,00:33:36,2066.495831,00:34:26,,4083.456972,,0
1,4,0.093422,00:00:00,561.727065,00:09:21,597.241192,00:09:57,,1159.061679,,0
1,6,0.343497,00:00:00,510.145428,00:08:30,554.62322,00:09:14,,1065.112145,,0
1,8,0.612594,00:00:00,510.226737,00:08:30,538.871708,00:08:58,,1049.711039,,0
1,10,0.855967,00:00:00,531.240169,00:08:51,557.097622,00:09:17,,1089.193758,,0
1,12,1.122148,00:00:01,526.473478,00:08:46,546.397753,00:09:06,,1073.993379,,0
1,14,1.349981,00:00:01,509.745226,00:08:29,541.696882,00:09:01,,1052.792089,,0
1,16,1.600603,00:00:01,526.25838,00:08:46,554.288014,00:09:14,,1082.146997,,0
1,18,1.825367,00:00:01,517.330255,00:08:37,550.574646,00:09:10,,1069.730268,,0
1,20,2.077146,00:00:02,518.923927,00:08:38,549.599261,00:09:09,,1070.600334,,0
1,22,2.338066,00:00:02,513.408555,00:08:33,550.66123,00:09:10,,1066.407851,,0
1,24,2.556671,00:00:02,519.001241,00:08:39,550.263024,00:09:10,,1071.820936,,0
4,2,0.058329,00:00:00,2004.013699,00:33:24,2055.722093,00:34:15,,4059.794121,,0
4,4,0.095405,00:00:00,551.691914,00:09:11,580.897976,00:09:40,,1132.685295,,0
4,6,0.339452,00:00:00,515.076371,00:08:35,549.919322,00:09:09,,1065.335145,,0
4,8,0.607446,00:00:00,510.011451,00:08:30,546.533376,00:09:06,,1057.152273,,0
4,10,0.8684,00:00:00,518.914185,00:08:39,542.94577,00:09:02,,1062.728355,,0
4,12,1.096542,00:00:01,510.535974,00:08:30,553.76291,00:09:13,,1065.395426,,0
4,14,1.348932,00:00:01,516.447561,00:08:36,551.437997,00:09:11,,1069.23449,,0
4,16,1.581534,00:00:01,518.723757,00:08:38,559.952252,00:09:19,,1080.257543,,0
4,18,1.843367,00:00:01,528.773063,00:08:48,558.905393,00:09:18,,1089.521823,,0
4,20,2.087755,00:00:02,531.854238,00:08:51,553.024902,00:09:13,,1086.966895,,0
4,22,2.312048,00:00:02,521.047381,00:08:41,552.888222,00:09:12,,1076.247651,,0
4,24,2.574403,00:00:02,534.883703,00:08:54,570.354584,00:09:30,,1107.81269,,0
7,2,0.059276,00:00:00,2127.793061,00:35:27,2155.35013,00:35:55,,4283.202467,,0
7,4,0.095967,00:00:00,567.565141,00:09:27,598.336489,00:09:58,,1165.997597,,0
