maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note,Total_CPU,,isMin
1,2,0.008913,00:00:00,582.133907,00:09:42,647.754064,00:10:47,,1229.896884,,0
1,4,0.0141,00:00:00,445.049005,00:07:25,488.331491,00:08:08,,933.394596,,0
1,6,0.03017,00:00:00,458.685309,00:07:38,488.753589,00:08:08,,947.469068,,0
1,8,0.044307,00:00:00,446.369553,00:07:26,476.910942,00:07:56,,923.324802,,0
1,10,0.057713,00:00:00,449.027844,00:07:29,493.97783,00:08:13,,943.063387,,0
1,12,0.071526,00:00:00,453.329103,00:07:33,487.791883,00:08:07,,941.192512,,0
1,14,0.085228,00:00:00,456.486684,00:07:36,486.802102,00:08:06,,943.374014,,0
1,16,0.098812,00:00:00,458.873383,00:07:38,491.256407,00:08:11,,950.228602,,0
1,18,0.112188,00:00:00,459.998172,00:07:40,490.705265,00:08:10,,950.815625,,0
1,20,0.12653,00:00:00,466.590969,00:07:46,503.230025,00:08:23,,969.947524,,0
1,22,0.139554,00:00:00,461.369175,00:07:41,493.829031,00:08:13,,955.33776,,0
1,24,0.152386,00:00:00,465.008506,00:07:45,497.809873,00:08:17,,962.970765,,0
4,2,0.005248,00:00:00,617.98896,00:10:17,649.957121,00:10:49,,1267.951329,,0
4,4,0.014398,00:00:00,455.675859,00:07:35,486.55104,00:08:06,,942.241297,,0
4,6,0.030017,00:00:00,455.381605,00:07:35,485.399676,00:08:05,,940.811298,,0
4,8,0.044389,00:00:00,461.514557,00:07:41,490.531422,00:08:10,,952.090368,,0
4,10,0.057755,00:00:00,453.953129,00:07:33,483.599862,00:08:03,,937.610746,,0
4,12,0.071261,00:00:00,461.210466,00:07:41,497.973882,00:08:17,,959.255609,,0
4,14,0.085465,00:00:00,461.058548,00:07:41,486.34889,00:08:06,,947.492903,,0
4,16,0.098752,00:00:00,448.872439,00:07:28,485.163174,00:08:05,,934.134365,,0
4,18,0.112514,00:00:00,456.733649,00:07:36,487.842805,00:08:07,,944.688968,,0
4,20,0.126264,00:00:00,466.916217,00:07:46,502.365515,00:08:22,,969.407996,,0
4,22,0.139455,00:00:00,451.212087,00:07:31,481.745401,00:08:01,,933.096943,,0
4,24,0.152476,00:00:00,454.429175,00:07:34,484.724285,00:08:04,,939.305936,,0
7,2,0.005294,00:00:00,624.701217,00:10:24,657.272989,00:10:57,,1281.9795,,0
7,4,0.014169,00:00:00,459.63655,00:07:39,490.864043,00:08:10,,950.514762,,0
7,6,0.030047,00:00:00,458.908142,00:07:38,489.431247,00:08:09,,948.369436,,0
7,8,0.044421,00:00:00,459.001869,00:07:39,489.441681,00:08:09,,948.487971,,0
7,10,0.057902,00:00:00,454.933903,00:07:34,488.849599,00:08:08,,943.841404,,0
7,12,0.071715,00:00:00,454.507107,00:07:34,485.305413,00:08:05,,939.884235,,0
7,14,0.085197,00:00:00,465.330347,00:07:45,493.344117,00:08:13,,958.759661,,0
7,16,0.09836,00:00:00,462.274663,00:07:42,493.545034,00:08:13,,955.918057,,0
7,18,0.111966,00:00:00,465.602682,00:07:45,495.772695,00:08:15,,961.487343,,0
7,20,0.125221,00:00:00,457.78751,00:07:37,486.457232,00:08:06,,944.369963,,0
7,22,0.139176,00:00:00,456.893825,00:07:36,490.572892,00:08:10,,947.605893,,0
7,24,0.152943,00:00:00,455.00572,00:07:35,486.749388,00:08:06,,941.908051,,0
9,2,0.005235,00:00:00,620.074895,00:10:20,650.955157,00:10:50,,1271.035287,,0
9,4,0.014394,00:00:00,451.41421,00:07:31,481.173807,00:08:01,,932.602411,,0
9,6,0.03032,00:00:00,447.163893,00:07:27,478.070046,00:07:58,,925.264259,,0
9,8,0.044405,00:00:00,455.148231,00:07:35,488.692524,00:08:08,,943.88516,,0
9,10,0.058003,00:00:00,444.838771,00:07:24,477.169815,00:07:57,,922.066589,,0
9,12,0.072077,00:00:00,450.096824,00:07:30,480.201836,00:08:00,,930.370737,,0
9,14,0.085116,00:00:00,460.789036,00:07:40,495.264944,00:08:15,,956.139096,,0
9,16,0.098918,00:00:00,460.352397,00:07:40,488.520392,00:08:08,,948.971707,,0
9,18,0.111999,00:00:00,462.742424,00:07:42,493.728286,00:08:13,,956.582709,,0
9,20,0.125883,00:00:00,460.865177,00:07:40,504.429087,00:08:24,,965.420147,,0
9,22,0.140789,00:00:00,447.14506,00:07:27,479.564697,00:07:59,,926.850546,,0
9,24,0.152294,00:00:00,466.569338,00:07:46,501.151811,00:08:21,,967.873443,,0
11,2,0.005208,00:00:00,616.607064,00:10:16,650.032038,00:10:50,,1266.64431,,0
11,4,0.014185,00:00:00,455.814487,00:07:35,486.030311,00:08:06,,941.858983,,0
11,6,0.030057,00:00:00,467.035855,00:07:47,500.243336,00:08:20,,967.309248,,0
11,8,0.044647,00:00:00,450.49989,00:07:30,489.325347,00:08:09,,939.869884,,0
