maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note,Total_CPU,,isMin
1,2,0.062287,00:00:00,2348.89885,00:39:08,2392.541182,00:39:52,,4741.502319,,0
1,4,0.114006,00:00:00,587.113471,00:09:47,612.167443,00:10:12,,1199.39492,,0
1,6,0.466001,00:00:00,533.90646,00:08:53,560.610737,00:09:20,,1094.983198,,0
1,8,0.964738,00:00:00,532.577443,00:08:52,573.630398,00:09:33,,1107.172579,,0
1,10,1.461085,00:00:01,540.528327,00:09:00,561.777352,00:09:21,,1103.766764,,0
1,12,1.919832,00:00:01,565.301926,00:09:25,599.099463,00:09:59,,1166.321221,,0
1,14,2.421161,00:00:02,545.530052,00:09:05,569.732165,00:09:29,,1117.683378,,0
1,16,2.844516,00:00:02,531.030932,00:08:51,555.552701,00:09:15,,1089.428149,,0
1,18,3.315533,00:00:03,529.062531,00:08:49,566.957737,00:09:26,,1099.335801,,0
1,20,3.786903,00:00:03,533.130084,00:08:53,573.643719,00:09:33,,1110.560706,,0
1,22,4.211216,00:00:04,524.885965,00:08:44,558.858956,00:09:18,,1087.956137,,0
1,24,4.710234,00:00:04,524.795572,00:08:45,568.294973,00:09:28,,1097.800779,,0
4,2,0.069591,00:00:00,2331.08427,00:38:51,2377.483874,00:39:37,,4708.637735,,0
4,4,0.113786,00:00:00,595.918797,00:09:55,628.099197,00:10:28,,1224.13178,,0
4,6,0.468373,00:00:00,528.522679,00:08:48,557.781091,00:09:17,,1086.772143,,0
4,8,0.97603,00:00:00,526.26474,00:08:46,557.110026,00:09:17,,1084.350796,,0
4,10,1.456236,00:00:01,528.005185,00:08:48,563.667034,00:09:23,,1093.128455,,0
4,12,1.914151,00:00:01,540.706034,00:09:00,577.54034,00:09:37,,1120.160525,,0
4,14,2.388807,00:00:02,538.830482,00:08:58,583.073333,00:09:43,,1124.292622,,0
4,16,2.879047,00:00:02,546.392831,00:09:06,575.553565,00:09:35,,1124.825443,,0
4,18,3.33061,00:00:03,540.426059,00:09:00,579.654194,00:09:39,,1123.410863,,0
