0,4358,20031,97699,65474,46587,8746,36660,2219965,0,1335,242039,479,0
0,8862,40362,194877,131127,93623,17816,72903,4439488,0,2630,484978,941,0
0,13107,60662,292988,196347,140475,26639,108836,6659514,0,4038,727611,1431,0
0,17577,80719,390554,262220,187874,35549,145143,8878453,0,5401,971002,1910,0
0,22041,100704,488030,327886,235217,44347,181375,11098037,0,6685,1213902,2362,0
0,26501,120949,584828,393490,282010,53248,217841,13318274,0,8054,1455830,2858,0
0,30743,141241,682577,459351,329014,62121,254286,15537355,0,9387,1698971,3311,0
0,35056,161827,779773,525150,376446,70995,290777,17756197,0,10671,1942354,3778,0
0,39492,181945,877204,590369,423296,79979,327705,19975719,0,12042,2184533,4290,0
0,43867,202257,975386,656202,470533,88816,363886,22194293,0,13326,2428494,4759,0
0,48144,222554,1073108,722166,518038,97674,400455,24412628,0,14616,2672300,5232,0
0,52517,243141,1171133,787838,565359,106653,436977,26630645,0,15933,2916444,5736,0
0,56810,263450,1268762,853169,612410,115651,473400,28850152,0,17171,3159276,6195,0
0,61147,283853,1365864,918866,659541,124548,509574,31069915,0,18480,3402030,6691,0
0,65551,304347,1463077,984661,707002,133460,546147,33288581,0,19787,3645484,7173,0
0,69918,324484,1561092,1050866,754390,142314,582628,35506615,0,21100,3889656,7692,0
0,74345,344493,1658852,1116520,801701,151233,618705,37725957,0,22468,4132869,8193,0
0,78692,364865,1756649,1182289,849031,160038,655176,39944581,0,23758,4376484,8678,0
0,83121,385058,1854451,1248161,896253,168892,691237,42163671,0,25094,4619997,9155,0
0,87455,405465,1952495,1313453,943434,177902,727738,44382416,0,26432,4863413,9641,0
0,91731,425682,2050126,1379143,990291,186807,764170,46601913,0,27721,5106195,10136,0
0,96091,446056,2147188,1444995,1037687,195604,800926,48820812,0,29079,5349182,10640,0
0,100453,466517,2244828,1510611,1084549,204729,837541,51039604,0,30406,5592448,11167,0
0,104659,487042,2342779,1576537,1131886,213590,873819,53258015,0,31784,5836381,11672,0
0,109070,507449,2440105,1642208,1179387,222582,910322,55476788,0,33023,6079866,12088,0
0,113276,527644,2537528,1707814,1226899,231427,946428,57696394,0,34403,6322774,12589,0
0,117674,548006,2635449,1772995,1274148,240137,982479,59916039,0,35732,6565749,13072,0
0,122034,568317,2732698,1838272,1321625,249039,1018524,62135922,0,37063,6808490,13568,0
0,126392,588742,2830637,1903889,1368885,257977,1054922,64354441,0,38426,7052210,14114,0
0,130768,609106,2928576,1969307,1416471,266801,1091493,66572895,0,39784,7295827,14582,0
0,135212,629635,3025636,2034480,1463575,275654,1128386,68792351,0,41115,7538147,15070,0
0,139715,650199,3122672,2099808,1510636,284533,1164414,71012465,0,42348,7780772,15557,0
0,144183,670714,3220505,2165226,1558027,293263,1201475,73230553,0,43683,8024288,16053,0
0,148478,690981,3317763,2231307,1605108,302173,1237618,75450007,0,45005,8267369,16564,0
0,152801,711341,3415752,2297070,1652436,310808,1274254,77668487,0,46368,8510890,17050,0
0,157159,731647,3513629,2363111,1699520,319672,1310531,79887203,0,47649,8754616,17527,0
0,161555,751860,3611963,2428984,1746325,328504,1347456,82105340,0,48970,8998233,18012,0
0,165809,772651,3709534,2494653,1793471,337268,1383436,84324692,0,50249,9241622,18485,0
0,170241,792997,3806765,2559651,1841010,346034,1419544,86544784,0,51552,9484119,18973,0
0,174569,813433,3904189,2625294,1887966,354998,1455836,88764247,0,52891,9727025,19467,0
0,179055,833583,4001438,2691580,1935348,363962,1492051,90983029,0,54165,9970754,19953,0
0,183400,853769,4098527,2757315,1982438,372850,1528348,93202880,0,55603,10213168,20472,0
0,187740,874087,4196980,2822751,2029813,381550,1564589,95421544,0,56874,10456992,20945,0
0,192143,894305,4294374,2888368,2077265,390387,1601041,97640692,0,58222,10700044,21424,0
0,196387,914400,4392852,2953590,2124525,399107,1637328,99859895,0,59528,10943248,21915,0
0,200729,934779,4490014,3019408,2171873,408141,1673654,102079004,0,60866,11186475,22397,0
0,205151,955237,4588471,3084313,2219316,416924,1710278,104297410,0,62247,11430064,22899,0
0,209536,975226,4686032,3150142,2266371,425786,1746414,106517148,0,63486,11672951,23344,0
0,213985,995683,4783541,3215773,2313839,434582,1783311,108735437,0,64851,11916400,23848,0
0,218205,1016136,4880447,3281852,2361152,443637,1819504,110954731,0,66205,12159559,24335,0
