maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note
1,2,0.008913,0:00:00,582.133907,0:09:42,647.754064,0:10:47,
1,4,0.0141,0:00:00,445.049005,0:07:25,488.331491,0:08:08,
1,6,0.030169999999999995,0:00:00,458.685309,0:07:38,488.75358900000003,0:08:08,
1,8,0.044307,0:00:00,446.369553,0:07:26,476.91094200000003,0:07:56,
1,10,0.057713,0:00:00,449.027844,0:07:29,493.97783000000004,0:08:13,
1,12,0.07152599999999999,0:00:00,453.329103,0:07:33,487.79188300000004,0:08:07,
1,14,0.085228,0:00:00,456.486684,0:07:36,486.802102,0:08:06,
1,16,0.098812,0:00:00,458.873383,0:07:38,491.256407,0:08:11,
1,18,0.112188,0:00:00,459.998172,0:07:40,490.705265,0:08:10,
1,20,0.12652999999999998,0:00:00,466.59096900000003,0:07:46,503.230025,0:08:23,
1,22,0.13955399999999998,0:00:00,461.36917500000004,0:07:41,493.829031,0:08:13,
1,24,0.152386,0:00:00,465.008506,0:07:45,497.8098729999999,0:08:17,
4,2,0.005247999999999999,0:00:00,617.98896,0:10:17,649.957121,0:10:49,
4,4,0.014398,0:00:00,455.675859,0:07:35,486.55104000000006,0:08:06,
4,6,0.030017,0:00:00,455.38160500000004,0:07:35,485.399676,0:08:05,
4,8,0.044389,0:00:00,461.51455699999997,0:07:41,490.53142199999996,0:08:10,
4,10,0.057755,0:00:00,453.953129,0:07:33,483.59986200000003,0:08:03,
4,12,0.071261,0:00:00,461.210466,0:07:41,497.973882,0:08:17,
4,14,0.08546499999999999,0:00:00,461.058548,0:07:41,486.34889,0:08:06,
4,16,0.098752,0:00:00,448.872439,0:07:28,485.16317399999997,0:08:05,
4,18,0.112514,0:00:00,456.733649,0:07:36,487.842805,0:08:07,
4,20,0.126264,0:00:00,466.916217,0:07:46,502.36551499999996,0:08:22,
4,22,0.139455,0:00:00,451.212087,0:07:31,481.7454010000001,0:08:01,
4,24,0.152476,0:00:00,454.429175,0:07:34,484.724285,0:08:04,
7,2,0.005294,0:00:00,624.701217,0:10:24,657.2729889999999,0:10:57,
7,4,0.014169000000000001,0:00:00,459.63655,0:07:39,490.864043,0:08:10,
7,6,0.030046999999999997,0:00:00,458.908142,0:07:38,489.431247,0:08:09,
7,8,0.044420999999999995,0:00:00,459.001869,0:07:39,489.4416810000001,0:08:09,
7,10,0.057901999999999995,0:00:00,454.933903,0:07:34,488.84959899999996,0:08:08,
7,12,0.071715,0:00:00,454.507107,0:07:34,485.30541300000004,0:08:05,
7,14,0.085197,0:00:00,465.330347,0:07:45,493.344117,0:08:13,
7,16,0.09835999999999999,0:00:00,462.274663,0:07:42,493.54503400000004,0:08:13,
7,18,0.11196599999999998,0:00:00,465.60268199999996,0:07:45,495.77269500000006,0:08:15,
7,20,0.125221,0:00:00,457.78751,0:07:37,486.45723200000003,0:08:06,
7,22,0.139176,0:00:00,456.893825,0:07:36,490.572892,0:08:10,
7,24,0.152943,0:00:00,455.00572,0:07:35,486.74938799999995,0:08:06,
9,2,0.005235,0:00:00,620.0748950000001,0:10:20,650.9551569999999,0:10:50,
9,4,0.014393999999999999,0:00:00,451.41421,0:07:31,481.17380699999995,0:08:01,
9,6,0.030319999999999996,0:00:00,447.16389300000003,0:07:27,478.07004600000005,0:07:58,
9,8,0.044405,0:00:00,455.148231,0:07:35,488.692524,0:08:08,
9,10,0.058003,0:00:00,444.838771,0:07:24,477.16981499999997,0:07:57,
9,12,0.072077,0:00:00,450.096824,0:07:30,480.201836,0:08:00,
