maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note
27,2,0.130456,0:00:00,3793.2225820000003,1:03:13,3848.0427670000004,1:04:08,
27,4,0.18056699999999998,0:00:00,641.7627339999999,0:10:41,670.31741,0:11:10,
27,6,0.684988,0:00:00,518.238912,0:08:38,549.277764,0:09:09,
27,8,1.5279449999999999,0:00:01,533.243052,0:08:53,575.9352749999999,0:09:35,
27,10,2.343852,0:00:02,536.270566,0:08:56,574.345717,0:09:34,
27,12,3.055504,0:00:03,524.288723,0:08:44,558.005748,0:09:18,
27,14,3.8256400000000004,0:00:03,543.395363,0:09:03,579.352496,0:09:39,
27,16,4.598531,0:00:04,541.786647,0:09:01,562.09029,0:09:22,
27,18,5.326307,0:00:05,534.234344,0:08:54,569.493303,0:09:29,
27,20,6.1479610000000005,0:00:06,543.944126,0:09:03,576.7512830000001,0:09:36,
27,22,6.846477999999999,0:00:06,539.5445480000001,0:08:59,569.910834,0:09:29,
27,24,7.641196000000001,0:00:07,553.43677,0:09:13,581.3779460000001,0:09:41,
29,2,0.130851,0:00:00,3805.6771860000003,1:03:25,3847.6030280000004,1:04:07,
29,4,0.177398,0:00:00,637.190238,0:10:37,684.4743230000001,0:11:24,
29,6,0.683248,0:00:00,520.6719360000001,0:08:40,558.6849199999999,0:09:18,
29,8,1.4909139999999999,0:00:01,518.3602549999999,0:08:38,551.0736839999998,0:09:11,
29,10,2.276982,0:00:02,515.5362279999999,0:08:35,549.901571,0:09:09,
29,12,3.0481380000000002,0:00:03,518.035752,0:08:38,551.612331,0:09:11,
29,14,3.831688,0:00:03,531.6539300000001,0:08:51,568.5982260000001,0:09:28,
29,16,4.577119,0:00:04,529.354691,0:08:49,566.9015660000001,0:09:26,
29,18,5.3410079999999995,0:00:05,542.039884,0:09:02,574.707621,0:09:34,
29,20,6.147441000000001,0:00:06,548.210409,0:09:08,576.767688,0:09:36,
29,22,6.810452,0:00:06,544.849879,0:09:04,574.0848530000001,0:09:34,
29,24,7.638461,0:00:07,541.1944110000001,0:09:01,568.6764810000001,0:09:28,
31,2,0.128996,0:00:00,3728.761187,1:02:08,3759.447971,1:02:39,
31,4,0.17659299999999997,0:00:00,633.83585,0:10:33,640.6721689999999,0:10:40,
31,6,0.652838,0:00:00,481.905974,0:08:01,511.07458699999995,0:08:31,
31,8,1.4844709999999999,0:00:01,489.50556,0:08:09,517.231151,0:08:37,
31,10,2.212621,0:00:02,476.321888,0:07:56,504.65691499999997,0:08:24,
31,12,3.0213940000000004,0:00:03,494.56901400000004,0:08:14,521.565437,0:08:41,
31,14,3.660691,0:00:03,489.41629,0:08:09,520.426546,0:08:40,
31,16,4.396751999999999,0:00:04,486.92199400000004,0:08:06,518.51428,0:08:38,
31,18,5.167623,0:00:05,503.173179,0:08:23,534.2870049999999,0:08:54,
31,20,5.888068,0:00:05,500.423991,0:08:20,529.838377,0:08:49,
31,22,6.695492000000001,0:00:06,496.820613,0:08:16,526.255332,0:08:46,
