geometry,cell_counts
FinalFuelPinPoly264,222856 42812 230981 2734808 24872
FinalFuelPinPoly5810,5876404 535797 4977423 57098824 479896
FinalFuelPinTet137,510964 44219 343282 4479408 27479
FinalFuelPinTet298,51505 146794 703593 8339000 43533
FinalFuelPinTet427,84238 39643 363819 4875240 46090
FinalFuelPinTet660,113918 338031 1608135 16874376 100851
FinalFuelPinTet1820,1570056 245149 2690724 34280352 240347
