pop,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms
100,57.319055999999996,0:00:57,0.1391929999999988,0:00:00,0.14021499999999776,0:00:00
200,55.071664000000006,0:00:55,0.2596369999999979,0:00:00,0.2782020000000003,0:00:00
300,55.044777,0:00:55,0.4467239999999961,0:00:00,0.47586700000000093,0:00:00
