geometry,cell_counts
FinalFuelPinHex243,190572 763392 9332
FinalFuelPinHex576,443388 3382500 20711
FinalFuelPinHex1125,1313504 3689472 33348
FinalFuelPinHex1944,1473291 10236625 57281
FinalFuelPinHex3087,4042998 10122624 89486
FinalFuelPinHex4608,3494865 23998750 135378
FinalFuelPinHex6561,4592398 32478250 186292
FinalFuelPinPoly264,222856 7322624 25320
FinalFuelPinPoly436,359776 1350656 16330
FinalFuelPinPoly468,401476 7703780 38496
FinalFuelPinPoly940,924631 9461880 61873
FinalFuelPinTet137,12262 80656250 29876
FinalFuelPinTet298,31494 30452912 44009
FinalFuelPinTet427,37876 15116000 46090
FinalFuelPinTet660,69390 68056688 98766
