geometry,Dmax,storage_MB,invariant_ok,closure_ok,dyn_psi_pct,dyn_psi_std,stat_psi_pct,delta_psi_pp,dyn_single_face_pct,dyn_single_face_std,stat_single_face_pct,delta_single_face_pp,dyn_angular_pct,dyn_angular_std,stat_angular_pct,delta_angular_pp,dyn_displacement_pct,dyn_displacement_std,stat_displacement_pct,delta_displacement_pp
Hex1125,1,6880.75,True,True,90.83113360194517,0.024150108332385085,90.37667132621657,0.4544622757286021,0.0,0.0,0.0,0.0,9.168866398054842,0.024150108332385668,9.576158566780961,-0.4072921687261193,0.04282414756931972,0.0024549919222292783,0.047225687283607785,-0.004401539714288062
Hex1125,2,678.726,True,True,56.91030171926568,0.05133613960950603,56.41708613848606,0.49321558077961924,42.89494559374869,0.05055014866322889,43.301565889342704,-0.406620295594017,0.19475268698563078,0.004774855151063334,0.23351881690211213,-0.038766129916481346,0.03854022804869497,0.0017505829158635663,0.047814583047093254,-0.009274354998398286
Hex1125,3,263.961,True,True,67.20359157105021,0.04896415423907376,66.21178337387167,0.9918081971785426,32.604083630505,0.04939730831963477,33.51156463733376,-0.9074810068287604,0.1923247984447946,0.0047235613414089665,0.2296241296339601,-0.03729933118916548,0.038179056738698564,0.0018134157758679474,0.04707306035370875,-0.008894003615010186
Hex1125,4,194.323,True,True,44.29074857658513,0.03874396361713489,43.118083696686895,1.1726648798982353,55.51489501944097,0.03928300096528594,56.60593105117089,-1.0910360317299208,0.19435640397388967,0.00429467299940399,0.22917076035830805,-0.03481435638441838,0.03862049903387314,0.0018936102821663977,0.0468396339408244,-0.00821913490695126
Hex1125,5,190.878,True,True,24.19797378080648,0.03962600967734425,23.08353241858184,1.114441362224639,75.60773001061305,0.039719291916301955,76.64607511997481,-1.0383451093617566,0.19429620858046823,0.00470654374843947,0.22457437416307274,-0.030278165582604516,0.03854524384835264,0.0018028472296873922,0.04597904591219696,-0.007433802063844322
Hex1944,1,15323.8,True,True,91.27166032378531,0.030510504157172144,91.19842523981305,0.07323508397226419,0.0,0.0,0.0,0.0,8.728339676214695,0.03051050415717357,8.76594119412319,-0.0376015179084952,0.03482317189031076,0.001584808324098464,0.03561614800731138,-0.0007929761170006183
Hex1944,2,1636.4,True,True,56.19553029275902,0.03582735398608149,54.99545840461956,1.2000718881394548,43.61393555531213,0.03819519140052034,44.778526090141426,-1.1645905348292942,0.1905341519288418,0.00492317315538655,0.19124886981712658,-0.0007147178882847827,0.03407568892366086,0.0022130465323657155,0.03483796319254756,-0.0007622742688866979
Hex1944,3,475.409,True,True,45.255061821836385,0.04070354323662996,45.093352811048725,0.16170901078766065,54.554233505287435,0.04119070415132905,54.67653528277917,-0.12230177749173521,0.19070467287617981,0.004746489141054848,0.19462088566399688,-0.003916212787817064,0.03401048731615085,0.00220978747887883,0.03543964035989125,-0.0014291530437404026
Hex1944,4,352.962,True,True,48.09044993343861,0.04439690790472759,47.077589650195875,1.0128602832427376,51.735193560403374,0.04529575594411592,52.69747607923695,-0.9622825188335753,0.17435650615801163,0.003918536211562912,0.1901167837180718,-0.015760277560060182,0.031191345009554467,0.0019594222894518017,0.0347664857756618,-0.0035751407661073313
Hex1944,5,343.827,True,True,24.899392522386638,0.047013940329683666,23.990103916484184,0.9092886059024536,74.92588478268921,0.04733502493961188,75.78770318434137,-0.8618184016521582,0.17472269492415862,0.003605235851767562,0.1879338949519753,-0.013211200027816672,0.03124651968227372,0.0019248599409148223,0.0343104949008852,-0.003063975218611476
Hex243,1,1015.01,True,True,89.30437295091191,0.026237620939188563,88.6481313725715,0.6562415783404134,0.0,0.0,0.0,0.0,10.695627049088086,0.02623762093918843,11.274623757019537,-0.5789967079314504,0.06994729649517188,0.0022062640492100933,0.07720755102487577,-0.007260254529703886
Hex243,2,78.7354,True,True,72.34015217910799,0.04630554288004664,70.20991306291782,2.130239116190168,27.373562567962285,0.04529773644194028,29.41135038668818,-2.0377878187258958,0.28628525292974344,0.005307779945981437,0.3050792318184449,-0.018793978888701435,0.06805616459950506,0.0023389402361273957,0.07360227588087628,-0.005546111281371224
Hex243,3,46.7179,True,True,63.01849378400319,0.04264835731696179,61.07577833392543,1.9427154500777633,36.69780938222517,0.042266020071809955,38.5494580240196,-1.8516486417944336,0.28369683377164157,0.005743849479960122,0.30160398268925154,-0.017907148917609972,0.06778024665783636,0.002341742492584984,0.07314062963181943,-0.005360382973983072
Hex243,4,37.2927,True,True,39.67407914195454,0.04686268102905438,37.581981752024156,2.0920973899303874,60.04114553737603,0.04359403277479928,62.04974895741682,-2.008603420040785,0.28477532066942424,0.005321869855698079,0.2960347882270727,-0.01125946755764845,0.0678354250792406,0.0022283029677735012,0.07173030464993152,-0.003894879570690915
Hex243,5,37.0774,True,True,23.90978253668964,0.041474666365961366,22.65302195637407,1.2567605803155715,75.80459940274066,0.0396422996514271,76.97794501599238,-1.173345613251712,0.28561806056968814,0.005539668419347526,0.29677512556174956,-0.011157064992061427,0.06789060771829723,0.0021768945714348664,0.07176007610259523,-0.003869468384297997
Hex576,1,4552.1,True,True,91.69662549132613,0.02394060724012055,91.3801889586139,0.31643653271223116,0.0,0.0,0.0,0.0,8.303374508673876,0.023940607240120124,8.58788542775195,-0.28451091907807324,0.03165284144250082,0.0019328725053405936,0.03192979922754874,-0.00027695778504791685
Hex576,2,307.52,True,True,64.60834439853343,0.03881073667884762,63.432740008025796,1.1756043905076368,35.22714606904006,0.03761348316631492,36.329260038917965,-1.1021139698779052,0.16450953242650995,0.0042338012388128685,0.20089128628530825,-0.0363817538587983,0.03057433450530091,0.001955582815421745,0.03712258290752274,-0.006548248402221828
Hex576,3,162.184,True,True,69.04273295811996,0.05340484143935288,68.30744872176068,0.7352842363592771,30.762930583491244,0.05421617205313178,31.457797302267586,-0.6948667187763427,0.19433645838877533,0.004749436886556548,0.19913306522985272,-0.004796606841077383,0.03560066310900462,0.0024990537275907947,0.03563451840345856,-3.38552944539397e-05
Hex576,4,110.156,True,True,47.83448269515436,0.05356676915502235,46.06480570897468,1.7696769861796753,51.969836491281875,0.05467974485758939,53.7043181255335,-1.7344816342516225,0.1956808135637667,0.004680548147848295,0.19596513285517195,-0.00028431929140523837,0.035781260983177875,0.0024034951784508906,0.034987482367769523,0.0007937786154083512
Hex576,5,107.472,True,True,23.998566347490364,0.038214063770453166,23.10298739459215,0.8955789528982123,75.80575283894586,0.03879029513584051,76.66613643991603,-0.8603836009701666,0.1956808135637667,0.004680548147848295,0.19596513285517195,-0.00028431929140523837,0.035781260983177875,0.0024034951784508906,0.034987482367769523,0.0007937786154083512
Hex72,1,569.372,True,True,90.53878861883946,0.034348244006029996,90.23030181267586,0.30848680616360014,0.0,0.0,0.0,0.0,9.461211381160542,0.034348244006031724,9.728773547886851,-0.26756216672630906,0.03807371593376556,0.0013109258088524996,0.04091595433099045,-0.002842238397224889
Hex72,2,80.7194,True,True,82.34538702657335,0.03651314356777128,81.36698805906039,0.978398967512959,17.474016283357514,0.03589173010261173,18.353189939688345,-0.8791736563308312,0.18059669006913776,0.00458484925681201,0.23873786478278777,-0.05814117471365002,0.02976170123915416,0.0015012656808590778,0.04112937280238051,-0.011367671563226347
Hex72,3,22.4809,True,True,69.25472703753653,0.04814708826293686,66.43782726491253,2.816899772623998,30.580562786655186,0.04760517415595922,33.30709665871945,-2.726533872064266,0.16471017580831288,0.004588258189306202,0.21760005285945425,-0.05288987705114137,0.027524413678636395,0.001695204539760151,0.0375218524942224,-0.009997438815586006
Hex72,4,15.8837,True,True,45.02769349959968,0.061804660927905195,43.182715745445506,1.844977754154172,54.80966804786883,0.06102131667718551,56.56427711743638,-1.7546090695675503,0.16263845253148398,0.004523558000909963,0.21577961605674148,-0.053141163525257495,0.02717829347163614,0.001663301574639049,0.03727748007232252,-0.010099186600686379
Hex72,5,16.0232,True,True,24.90381657492645,0.044204784608238776,22.032436358473003,2.8713802164534457,74.93073583899087,0.04305803715460069,77.73065552385094,-2.799919684860072,0.16544758608266058,0.004630862940261815,0.20132171943960553,-0.03587413335694495,0.02802102511388248,0.0017456109008727348,0.03521970825751264,-0.007198683143630157
Poly1560,1,29558.8,True,True,93.95562572920738,0.0229646507420141,93.72354521601139,0.23208051319599576,0.0,0.0,0.0,0.0,6.044374270792629,0.02296465074201495,6.249723733757902,-0.20534946296527323,0.02509151916928351,0.0014943205220963292,0.026740896307197583,-0.001649377137914073
Poly1560,2,2676.48,True,True,61.12468073713451,0.039314295898820656,60.62286762154784,0.5018131155866712,38.78084726856689,0.039806186010073144,39.25537985744031,-0.47453258887342287,0.09447199429861862,0.0028894693335110517,0.09691481092657196,-0.0024428166279533425,0.02351138401481154,0.001503604244060427,0.024907281169025,-0.001395897154213458
Poly1560,3,505.084,True,True,58.79113375564471,0.040145195041527276,58.182943410002146,0.6081903456425621,41.114023030759995,0.04047209852793364,41.69501178884461,-0.5809887580846151,0.09484321359530222,0.0029365116912005297,0.09712402572860165,-0.002280812133299434,0.023521413973705236,0.0014388194167709192,0.024940624501207515,-0.0014192105275022786
Poly1560,4,405.345,True,True,60.14746057987297,0.05002056060850599,59.365606210091315,0.7818543697816551,39.76227107804181,0.05008631604053066,40.507875308306794,-0.7456042302649806,0.09026834208522286,0.0029511707084845474,0.10010949078124239,-0.009841148696019528,0.022568316290040073,0.0013149495691142095,0.02640380835989399,-0.003835492069853917
Poly1560,5,372.963,True,True,38.52442818966184,0.0440054708544113,37.07326885395203,1.4511593357098107,61.38550911280149,0.04394965847742655,62.8023513393446,-1.4168422265431033,0.09006269753666236,0.002879537059985447,0.09797348349882772,-0.007910785962165351,0.022829139246572133,0.0015975149994178,0.025865844678378887,-0.003036705431806754
Poly264,1,9278.54,True,True,94.81549406115631,0.02394677504931799,94.40033282322739,0.41516123792892756,0.0,0.0,0.0,0.0,5.184505938843689,0.023946775049318057,5.580684545462148,-0.3961786066184594,0.016533733289283627,0.0013201958573433932,0.018937265330356324,-0.0024035320410726972
Poly264,2,380.647,True,True,72.82227875508514,0.03760761931369341,71.89205043327281,0.9302283218123222,27.11702407181546,0.03832319154340575,28.009179003589026,-0.8921549317735646,0.060697173099380566,0.001840706097472039,0.0802239249983892,-0.01952675189900864,0.013408587746378717,0.001079980358512911,0.018456354829703082,-0.005047767083324365
Poly264,3,225.563,True,True,80.49204911187041,0.034894356125766836,79.37502103618998,1.1170280756804374,19.4455281156749,0.034877368308608846,20.52432188833925,-1.0787937726643513,0.06242277245467677,0.0017889217846879704,0.08189040730911754,-0.019467634854440766,0.013689497503709819,0.0011999382927959923,0.018720901861352914,-0.005031404357643095
Poly264,4,109.154,True,True,64.90853107078988,0.04580366784294207,63.30697078983482,1.6015602809550558,35.02906120389272,0.04592213235753139,36.59358211390056,-1.5645209100078432,0.06240772531740153,0.0017089766259403105,0.08096412992085707,-0.018556404603455534,0.01373464307320505,0.0011836665694934616,0.01855946411010517,-0.00482482103690012
Poly264,5,97.7637,True,True,43.11826069961347,0.04456636605793846,42.0398605765327,1.078400123080769,56.81994356271203,0.04475991388289764,57.861400471819785,-1.0414569091077581,0.06179573767451544,0.0017173588700206738,0.08039443230653213,-0.018598694632016695,0.013629300186504597,0.0011409793338445012,0.018430540477250793,-0.004801240290746196
Poly468,1,11457.2,True,True,94.49658802105073,0.021048734276616025,94.06460176528687,0.43198625576386007,0.0,0.0,0.0,0.0,5.503411978949277,0.021048734276614457,5.905046588313989,-0.40163460936471207,0.026134920171965496,0.0019889258915363616,0.030407980894349304,-0.004273060722383808
Poly468,2,634.59,True,True,68.29833416997552,0.04444595582345035,66.95463684714706,1.3436973228284614,31.64456529482655,0.04484798185323831,32.937638127401506,-1.293072832574957,0.05710053519793257,0.001900989882848252,0.08024955928682728,-0.023149024088894715,0.018379689267442715,0.0013319507269550365,0.027425229829944345,-0.00904554056250163
Poly468,3,187.027,True,True,61.22824705521462,0.04680526807152786,59.38690273011082,1.8413443251037975,38.70119365158975,0.04718728890916458,40.49585658288874,-1.7946629312989941,0.07055929319563828,0.0020417733346294524,0.0878356501084747,-0.017276356912836424,0.02256331601865069,0.001724844683822772,0.02936134698765391,-0.0067980309690032215
Poly468,4,127.289,True,True,64.1675330011052,0.032837574697497464,63.133373797088176,1.0341592040170227,35.785830459683254,0.03275628095021218,36.773847413081086,-0.9880169533978318,0.04663653921153577,0.0014582343045937266,0.06925014244260874,-0.02261360323107297,0.015139167829474855,0.0010673126863305139,0.02357719563041029,-0.008438027800935433
Poly468,5,113.541,True,True,40.72629294183857,0.04684830898945965,40.08421777212736,0.6420751697112124,59.22711566272769,0.04681520794839872,59.82310673217443,-0.5959910694467396,0.0465913954337409,0.0015584694273106771,0.0691698829016396,-0.0225784874678987,0.01509903587046368,0.0010926029369780418,0.02353846033071476,-0.008439424460251078
Poly940,1,16383.0,True,True,93.65401539461104,0.023450798869938855,93.57219893156743,0.08181646304360868,0.0,0.0,0.0,0.0,6.345984605388958,0.023450798869940156,6.395173169165691,-0.04918856377673286,0.031898664890072974,0.0015919166868727456,0.03258645868741423,-0.0006877937973412546
Poly940,2,1340.38,True,True,62.88401270385756,0.047049105568277454,61.93511487488597,0.9488978289715888,37.01914265326219,0.04590768320848121,37.92898380147237,-0.9098411482101767,0.09684464288025371,0.0034764927453664984,0.10351667945697389,-0.006672036576720178,0.028442416215761563,0.0011506504902003899,0.03225101822567066,-0.003808602009909099
Poly940,3,310.624,True,True,56.618739980328016,0.043831680926565086,56.14696370252786,0.47177627780015285,43.28438528228047,0.0433411708982403,43.7162701352548,-0.4318848529743349,0.09687473739151392,0.0033933003319543543,0.10429115620731981,-0.007416418815805889,0.028412318830571125,0.0011405320018009122,0.032465425594271236,-0.004053106763700111
Poly940,4,240.631,True,True,59.680549441713445,0.048835466781334894,58.633110379078076,1.0474390626353696,40.22328813520649,0.047433692839015225,41.23240817395825,-1.0091200387517603,0.09616242308005993,0.003468519976347349,0.10252655241606423,-0.006364129336004304,0.02823173101676138,0.00121508196306646,0.03195138721502588,-0.003719656198264497
Poly940,5,224.403,True,True,38.13559573722681,0.05080754369759133,36.3451388503145,1.7904568869123096,61.76746431298456,0.05043739763942691,63.52319943472036,-1.7557351217358033,0.09693994978864123,0.003393858376871357,0.10025306472541953,-0.0033131149367782997,0.028417335405413635,0.0012694850889632037,0.031227096191118162,-0.002809760785704527
Tet1331,2,18987.2,True,True,51.2253957971043,0.040722122530703016,50.7731371156634,0.4522586814408953,48.71060119309924,0.040278087040252646,49.146486792791,-0.43588559969176544,0.0640030097964644,0.002598065953082106,0.06624567263401031,-0.002242662837545914,0.01296210659720146,0.0007488851654131346,0.014077133885008893,-0.0011150272878074335
Tet1331,3,2033.07,True,True,45.048044652974895,0.03769618535301778,44.52989429796902,0.5181503550058721,54.888283458499075,0.03791371907648475,55.389919615977455,-0.5016361574783801,0.06367188852601777,0.0026378679736691005,0.0661854546091235,-0.0025135660831057394,0.012510675193617848,0.001309166321031703,0.014062006294629564,-0.001551331101011716
Tet1331,4,1176.83,True,True,63.48566734213715,0.04461204767564023,63.12763832017448,0.35802902196266473,36.450660769336835,0.04565827952836275,36.79166482087509,-0.3410040515382562,0.06367188852601777,0.0026378679736691005,0.06655532810112251,-0.002883439575104743,0.012510675193617848,0.001309166321031703,0.014140590983719085,-0.001629915790101237
Tet1331,5,1019.27,True,True,40.52451697204809,0.035325285576413186,39.94682841406278,0.5776885579853115,59.4118111394259,0.035045069251211945,59.97315904836837,-0.5613479089424729,0.06367188852601777,0.0026378679736691005,0.0659977616040599,-0.0023258730780421344,0.012510675193617848,0.001309166321031703,0.014022128345097452,-0.0015114531514796043
Tet137,1,20311.6,True,True,95.43346246591479,0.01770605623004077,95.08299601493614,0.3504664509786437,0.0,0.0,0.0,0.0,4.56653753408523,0.01770605623003999,4.906241174809376,-0.3397036407241467,0.009004280900737079,0.001119224055437296,0.010765425125775309,-0.0017611442250382303
Tet137,2,844.493,True,True,70.16051471107497,0.03645066987952935,68.24127282494001,1.9192418861349552,29.79158971319807,0.037423303767359216,31.69522766211764,-1.9036379489195703,0.04789557572695422,0.0026959572859529646,0.052952579286700885,-0.005057003559746663,0.009004280900737079,0.001119224055437296,0.010510070546902,-0.0015057896461649206
Tet137,3,203.071,True,True,64.24349415898615,0.04952053953647825,63.844235076631605,0.399259082354547,35.71234738836482,0.04922649392664634,36.09108369229678,-0.3787363039319587,0.04415845264902628,0.0023836935752608672,0.053978052197753465,-0.009819599548727187,0.008196649855597144,0.0009885546178769883,0.010740422744007334,-0.0025437728884101906
Tet137,4,164.329,True,True,68.78184043536217,0.03728144492658172,66.63686598963848,2.1449744457236903,31.170263988910857,0.037719653278339184,33.299922415244964,-2.1296584263341067,0.04789557572695422,0.0026959572859529646,0.05274131970526153,-0.00484574397830731,0.009004280900737079,0.001119224055437296,0.010468139575180774,-0.0014638586744436955
Tet137,5,135.953,True,True,46.54262173477554,0.05621258239583238,44.34581796312467,2.1968037716508704,53.40948268949751,0.05602388484150769,55.591891399559216,-2.182408710061708,0.04789557572695422,0.0026959572859529646,0.05185443316135019,-0.003958857434395967,0.009004280900737079,0.001119224055437296,0.010292109620282102,-0.0012878287195450238
Tet1820,1,66597.2,True,True,92.77513988413226,0.023017634218192102,92.59634155158702,0.17879833254524158,0.0,0.0,0.0,0.0,7.2248601158677515,0.02301763421819085,7.374350204696654,-0.14949008882890258,0.02717829357438622,0.0017432267624466714,0.029323961401556468,-0.0021456678271702494
